// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
DEFINE OBJECT COLT45                   // Object number -2
DEFINE OBJECT SPECIAL08                // Object number -3
DEFINE OBJECT KNIFECUR                 // Object number -4
DEFINE OBJECT MP5LNG                   // Object number -5
DEFINE OBJECT AK47                     // Object number -6
DEFINE OBJECT M4                       // Object number -7
DEFINE OBJECT DESERT_EAGLE             // Object number -8
DEFINE OBJECT SHOTGSPA                 // Object number -9
DEFINE OBJECT GRENADE                  // Object number -10
DEFINE OBJECT FLAME                    // Object number -11
DEFINE OBJECT ROCKETLA                 // Object number -12
DEFINE OBJECT IRGOGGLES                // Object number -13
DEFINE OBJECT NULL                     // Object number -14
DEFINE OBJECT POLMAV                   // Object number -15
DEFINE OBJECT SWAT                     // Object number -16
DEFINE OBJECT RHINO                    // Object number -17
DEFINE OBJECT ARMY                     // Object number -18
DEFINE OBJECT HYDRA                    // Object number -19
DEFINE OBJECT CARGOBOB                 // Object number -20
DEFINE OBJECT HUNTER                   // Object number -21
DEFINE OBJECT CHEETAH                  // Object number -22
DEFINE OBJECT COPCARLA                 // Object number -23
DEFINE OBJECT LAPD1                    // Object number -24
DEFINE OBJECT VINCENT                  // Object number -25
DEFINE OBJECT PATRIOT                  // Object number -26
DEFINE OBJECT SENTINEL                 // Object number -27
DEFINE OBJECT VWMYCD                   // Object number -28
DEFINE OBJECT BARRACKS                 // Object number -29
DEFINE OBJECT ENFORCER                 // Object number -30
DEFINE OBJECT SPECIAL05                // Object number -31
DEFINE OBJECT FAM3                     // Object number -32
DEFINE OBJECT MALE01                   // Object number -33
DEFINE OBJECT FAM1                     // Object number -34
DEFINE OBJECT FAM2                     // Object number -35
DEFINE OBJECT LAEMT1                   // Object number -36
DEFINE OBJECT SFEMT1                   // Object number -37
DEFINE OBJECT LVEMT1                   // Object number -38
DEFINE OBJECT BALLAS1                  // Object number -39
DEFINE OBJECT LAPDM1                   // Object number -40
DEFINE OBJECT WMYSGRD                  // Object number -41
DEFINE OBJECT FBI                      // Object number -42
DEFINE OBJECT SPECIAL09                // Object number -43
DEFINE OBJECT KATANA                   // Object number -44
DEFINE OBJECT SPECIAL06                // Object number -45
DEFINE OBJECT SWATVAN                  // Object number -46
DEFINE OBJECT PICKUPSAVE               // Object number -47
DEFINE OBJECT HEATSEEK                 // Object number -48
DEFINE OBJECT SPECIAL01                // Object number -49
